odc_type_name;odc_type_id;odc_nature_name;odc_nature_id;odc_fault_name;odc_fault_id
0;0;0;0;0;0
assignment;1;missing;1;MVIV;1
assignment;1;missing;1;MVIE;2
assignment;1;missing;1;MVAV;3
assignment;1;missing;1;MVAE;4
assignment;1;missing;1;MVAI;5
assignment;1;missing;1;MVAD;6
assignment;1;missing;1;MLOA;7
assignment;1;missing;1;MLAA;8
assignment;1;wrong;2;WPLA;9
assignment;1;wrong;2;WVAL;10
assignment;1;wrong;2;WVAE;11
assignment;1;wrong;2;WVIV;12
assignment;1;wrong;2;WVIM;13
assignment;1;wrong;2;WVAV;14
assignment;1;wrong;2;WVAM;15
assignment;1;wrong;2;WIDI;16
assignment;1;wrong;2;WIDIM;17
assignment;1;wrong;2;WIDS;18
assignment;1;wrong;2;WIDSL;19
assignment;1;wrong;2;WIDM;20
assignment;1;wrong;2;WSUT;21
assignment;1;extraneous;3;EVAL;22
assignment;1;extraneous;3;EVAV;23
checking;2;missing;1;MIA;24
checking;2;missing;1;MLOC;25
checking;2;missing;1;MLAC;26
checking;2;wrong;2;WPLC;27
checking;2;wrong;2;WLEC;28
checking;2;wrong;2;WAEC;29
checking;2;extraneous;3;ELOC;30
interface;3;missing;1;MRS;31
interface;3;missing;1;MPFC;32
interface;3;missing;1;MLOP;33
interface;3;missing;1;MLAP;34
interface;3;wrong;2;WPLP;35
interface;3;wrong;2;WLEP;36
interface;3;wrong;2;WAEP;37
interface;3;wrong;2;WPFV;38
interface;3;wrong;2;WPFL;39
interface;3;wrong;2;WPFML;40
interface;3;wrong;2;WPFO;41
interface;3;wrong;2;WRV;42
algorithm;4;missing;1;MFC;43
algorithm;4;missing;1;MIFS;44
algorithm;4;missing;1;MIES;45
algorithm;4;missing;1;MIEB;46
algorithm;4;missing;1;MIEA;47
algorithm;4;missing;1;MCA;48
algorithm;4;missing;1;MCS;49
algorithm;4;missing;1;MBC;50
algorithm;4;missing;1;MLPA;51
algorithm;4;missing;1;MLPS;52
algorithm;4;missing;1;MLPL;53
algorithm;4;wrong;2;WFCS;54
algorithm;4;wrong;2;WFCD;55
algorithm;4;wrong;2;WBCI;56
algorithm;4;wrong;2;WALD;57
algorithm;4;wrong;2;WALR;58
algorithm;4;wrong;2;WSUC;59
algorithm;4;extraneous;3;EFC;60
function;5;missing;1;MFCT;61
function;5;wrong;2;WALL;62
overflow;6;missing;1;MCSM;63
input;7;missing;1;MRIV;64
input;7;missing;1;MRAIV;65
input;7;missing;1;MROIV;66
input;7;missing;1;MIIVS;67
input;7;missing;1;MIAIV;68
input;7;missing;1;MIOIV;69
input;7;wrong;2;WRIV;70
input;7;wrong;2;WIIV;71
access;8;missing;1;MRTS;72
access;8;missing;1;MRATS;73
access;8;missing;1;MROTS;74
access;8;missing;1;MITSS;75
access;8;missing;1;MIATS;76
access;8;missing;1;MIOTS;77
access;8;wrong;2;WRTS;78
access;8;wrong;2;WITS;79
access;8;wrong;2;PVPF;80
