odc_type_name;odc_type_id;odc_nature_name;odc_nature_id;odc_fault_name;odc_fault_id
0;0;0;0;0;0
assignment;1;missing;1;A_MISP;101
assignment;1;missing;1;A_MILV;102
assignment;1;missing;1;A_MISV;103
assignment;1;missing;1;A_MISV_2;104
assignment;1;missing;1;A_MC;105
assignment;1;missing;1;A_MCV;106
assignment;1;wrong;2;A_WVAE;107
assignment;1;wrong;2;A_WIS;108
assignment;1;wrong;2;A_WIS_2;109
assignment;1;wrong;2;A_WIT;110
assignment;1;wrong;2;A_WVATMD;111
assignment;1;wrong;2;A_WVATMD_2;112
assignment;1;wrong;2;A_WVAA;113
assignment;1;wrong;2;A_WVAA_2;114
assignment;1;wrong;2;A_WCN;115
assignment;1;wrong;2;A_WVT;116
assignment;1;wrong;2;A_WDISV;117
assignment;1;wrong;2;A_WVN;118
assignment;1;wrong;2;A_WFTVA;119
