ABTokenTransfer-1-1.sol;36;function addSERAPHIM(address _newSeraphim) public onlyCREATOR() {
ABTokenTransfer-12-11.sol;283;ABTokenData.mintABToken(accessory.owner, (accessory.accessorySeriesId + 42), 0, 0, 0, 0, '0', 0, uint16(int(accessoryID)));
ABTokenTransfer-12-12.sol;289;if ((((int(angelID) <= 0)) || ((angelID > angelCardData.getTotalAngels())))) {
ABTokenTransfer-12-13.sol;289;if ((((angelID <= 0)) || ((int(angelID) > angelCardData.getTotalAngels())))) {
ABTokenTransfer-12-3.sol;262;if ((((int(petID) <= 0)) || ((petID > petCardData.getTotalPets())))) {
ABTokenTransfer-12-7.sol;277;if ((((int(accessoryID) <= 0)) || ((accessoryID > accessoryData.getTotalAccessories())))) {
ABTokenTransfer-16-1.sol;37;creatorAddress = 0x0000000000000000000000000000000000000001;
ABTokenTransfer-2-1.sol;1;contract Enums {
ABTokenTransfer-20-1.sol;62;address public creatorAddress;
ABTokenTransfer-20-2.sol;183;address public creatorAddress;
ABTokenTransfer-23-1.sol;41;{
ABTokenTransfer-23-2.sol;48;{
ABTokenTransfer-23-3.sol;262;{
ABTokenTransfer-23-4.sol;277;{
ABTokenTransfer-23-5.sol;289;{
ABTokenTransfer-24-1.sol;267;{
ABTokenTransfer-3-1.sol;260;IPetCardData petCardData;
ABTokenTransfer-3-2.sol;261;IABToken ABTokenData;
ABTokenTransfer-3-3.sol;275;IAccessoryData accessoryData;
ABTokenTransfer-3-4.sol;276;IABToken ABTokenData;
ABTokenTransfer-3-5.sol;287;IAngelCardData angelCardData;
ABTokenTransfer-3-6.sol;288;IABToken ABTokenData;
ABTokenTransfer-3-7.sol;295;uint16 auraRed;
ABTokenTransfer-3-8.sol;296;uint16 auraYellow;
ABTokenTransfer-3-9.sol;297;uint16 auraBlue;
ABTokenTransfer-32-1.sol;322;function kill() external {
ABTokenTransfer-38-1.sol;22;_;
ABTokenTransfer-38-2.sol;27;_;
ABTokenTransfer-39-1.sol;22;require((tx.origin == creatorAddress));
ABTokenTransfer-39-2.sol;27;require((seraphims[tx.origin] == true));
ABTokenTransfer-4-11.sol;280;Accessory storage accessory;
ABTokenTransfer-4-9.sol;105;function _checkOnERC721Received(address from, address to, uint256 tokenId, bytes storage _data) internal returns (bool) ;
ABTokenTransfer-40-5.sol;181;contract ABTokenTransfer is Enums, AccessControl {
ABTokenTransfer-43-1.sol;109;contract IPetCardData is Enums, AccessControl {
ABTokenTransfer-43-2.sol;132;contract IAngelCardData is Enums, AccessControl {
ABTokenTransfer-43-3.sol;159;contract IAccessoryData is Enums, AccessControl {
ABTokenTransfer-44-1.sol;63;function totalSupply() public view returns (uint256) ;
ABTokenTransfer-44-10.sol;94;function setAuras(uint256 tokenId, uint16 _red, uint16 _blue, uint16 _yellow) public ;
ABTokenTransfer-44-11.sol;96;function setExperience(uint256 tokenId, uint16 _experience) public ;
ABTokenTransfer-44-12.sol;97;function setLastBattleResult(uint256 tokenId, uint16 _result) public ;
ABTokenTransfer-44-13.sol;98;function setLastBattleTime(uint256 tokenId) public ;
ABTokenTransfer-44-14.sol;99;function setLastBreedingTime(uint256 tokenId) public ;
ABTokenTransfer-44-15.sol;100;function setoldId(uint256 tokenId, uint16 _oldId) public ;
ABTokenTransfer-44-16.sol;101;function getABTokenByIndex(address _owner, uint64 _index) public view returns (uint256) ;
ABTokenTransfer-44-17.sol;116;function setPet(uint8 _petCardSeriesId, address _owner, string _name, uint8 _luck, uint16 _auraRed, uint16 _auraYellow, uint16 _auraBlue) public onlySERAPHIM() returns (uint64) ;
ABTokenTransfer-44-18.sol;117;function setPetAuras(uint64 _petId, uint8 _auraRed, uint8 _auraBlue, uint8 _auraYellow) public onlySERAPHIM() ;
ABTokenTransfer-44-19.sol;118;function setPetLastTrainingTime(uint64 _petId) public onlySERAPHIM() ;
ABTokenTransfer-44-2.sol;65;function setMaxAngels() public ;
ABTokenTransfer-44-20.sol;119;function setPetLastBreedingTime(uint64 _petId) public onlySERAPHIM() ;
ABTokenTransfer-44-21.sol;138;function createAngelCardSeries(uint8 _angelCardSeriesId, uint _basePrice, uint64 _maxTotal, uint8 _baseAura, uint16 _baseBattlePower, uint64 _liveTime) public onlyCREATOR() returns (uint8) ;
ABTokenTransfer-44-22.sol;139;function updateAngelCardSeries(uint8 _angelCardSeriesId, uint64 _newPrice, uint64 _newMaxTotal) public onlyCREATOR() ;
ABTokenTransfer-44-23.sol;140;function setAngel(uint8 _angelCardSeriesId, address _owner, uint _price, uint16 _battlePower) public onlySERAPHIM() returns (uint64) ;
ABTokenTransfer-44-24.sol;141;function addToAngelExperienceLevel(uint64 _angelId, uint _value) public onlySERAPHIM() ;
ABTokenTransfer-44-25.sol;142;function setAngelLastBattleTime(uint64 _angelId) public onlySERAPHIM() ;
ABTokenTransfer-44-26.sol;143;function setAngelLastVsBattleTime(uint64 _angelId) public onlySERAPHIM() ;
ABTokenTransfer-44-27.sol;144;function setLastBattleResult(uint64 _angelId, uint16 _value) public onlySERAPHIM() ;
ABTokenTransfer-44-28.sol;149;function removeCreator() public onlyCREATOR() ;
ABTokenTransfer-44-29.sol;166;function setAccessory(uint8 _AccessorySeriesId, address _owner) public onlySERAPHIM() returns (uint64) ;
ABTokenTransfer-44-3.sol;66;function setMaxAccessories() public ;
ABTokenTransfer-44-30.sol;171;function removeCreator() public onlyCREATOR() ;
ABTokenTransfer-44-31.sol;252;function DataContacts(address _angelCardDataContract, address _petCardDataContract, address _accessoryDataContract, address _ABTokenDataContract) public onlyCREATOR() {
ABTokenTransfer-44-32.sol;322;function kill() public onlyCREATOR() {
ABTokenTransfer-44-4.sol;67;function setMaxMedals() public ;
ABTokenTransfer-44-5.sol;68;function initAngelPrices() public ;
ABTokenTransfer-44-6.sol;69;function initAccessoryPrices() public ;
ABTokenTransfer-44-7.sol;70;function setCardSeriesPrice(uint8 _cardSeriesId, uint _newPrice) public ;
ABTokenTransfer-44-8.sol;75;function name() public pure returns (string memory _name) ;
ABTokenTransfer-44-9.sol;76;function symbol() public pure returns (string memory _symbol) ;
ABTokenTransfer-45-1.sol;13;address internal creatorAddress;
ABTokenTransfer-45-10.sol;163;uint32 internal totalAccessories;
ABTokenTransfer-45-11.sol;183;address internal angelCardDataContract = 0x6D2E76213615925c5fc436565B5ee788Ee0E86DC;
ABTokenTransfer-45-12.sol;185;address internal petCardDataContract = 0xB340686da996b8B3d486b4D27E38E38500A9E926;
